Grupo economico;Mensagem enviada? ;Cluster 2024;Vendas SLM 2023;Vendas SLM 24;Meta 2024;Gap;% Atingimento Meta;Vendas Plano 5K;Usa CRM ?;Total de Leads 90 dias;Habilitação Voucher;INADIMPLÊNCIA FDMP;INADIMPLÊNCIA ROY;Turmas usando Portifólio com familia;Número de Planejamentos;Meta formalizada?;Direito a voucher?;Motivo ;OBS ATIVO ;Observações;Quantidade de vouchers;Código do voucher ;Voucher enviado ;De acordo?;Atualizado CRM? ;Kit de Rematrícula;Observação Kit 
MAPLE BEAR PALMAS - PLANO DIRETOR SUL;ok;Alerta;539;550;538;-12;102,31%;7;NÃO USA CRM;196;5%;;;;56;;Sim;Portifólio;Felipe vai conversar com seu time acadêmico para alinhar a expectativa de implantação do uso de portifólio ;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;28;MBTO2025112;Sim;Sim;Sim;;
MAPLE BEAR SALVADOR - PITUBA;;Potente;530;541;506;-35;106,99%;4;NÃO USA CRM;338;5%;;;;16;;Sim;Portifólio;;LIBERADOS OS  VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE (EM 2 MESES);27;MBBA2025113;Sim ;Sim;Sim;;
MAPLE BEAR BRASÍLIA SUDOESTE;;Alta Performance;?;511;?;;;;;;5%;;;;52;;Sim;FDMP/Roy/Portifólio;;AS DIVIDAS DE 2023 FORAM PERDOADAS. DÍVIDAS DE 2024 ESTÃO EM NEGOCIAÇÃO. PORTANTO, FALAR COM A ESCOLA SOMENTE SOBRE A UTILIZAÇÃO DE PORTIFÓLIO. POR SER UMA ESCOLA PRÓPRIA, LIBEREI SEM ANTES RECEBER O DE ACORDO. ;26;MBDF2025117;Sim;Não;Sim;;
MAPLE BEAR ÁGUAS CLARAS - SUL;;Alerta;507;513;581;68;88,31%;6;NÃO USA CRM;285;5%;;;;32;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE ;26;MBDF2025114;Sim;Sim;Sim;;
MAPLE BEAR VALINHOS – JARDIM RIBEIRO;;Alta Performance;458;495;476;-19;103,96%;9;NÃO USA CRM;93;5%;;;;33;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE ;30;MBSP2025118;Sim;Sim;Sim;;
MAPLE BEAR ALPHAVILLE;;Alta Performance;501;508;502;-6;101,18%;3;NÃO USA CRM;119;5%;;;;41;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE ;25;MBSP2025115;Sim;Não;Sim;;
MAPLE BEAR ARACAJU - TREZE DE JULHO;ok;Desenvolvimento;468;493;499;6;98,73%;6;NÃO USA CRM;164;5%;;;;116;;Sim;Portifólio;;VOUCHERS LIBERARADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;25;MBSE2025195;Sim;Sim;Sim;;
MAPLE BEAR RIBEIRÃO PRETO - BONFIM PAULISTA;;Potente;420;474;415;-59;114,30%;19;USA CRM;493;5%;;;16;;;Sim ;;;;24;MBSP2025121;Sim ;N/A;Sim;;
MAPLE BEAR FORTALEZA - JOSÉ DE ALENCAR;ok;Alerta;451;450;456;6;98,70%;2;NÃO USA CRM;293;5%;;;;95;;Sim;Portifólio;ALinhado com Claudia, aguardando de acordo;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;23;MBCE2025119;Sim;Sim;Sim;;
MAPLE BEAR SANTOS - CAMPO GRANDE;;Potente;412;449;398;-51;112,79%;5;NÃO USA CRM;178;5%;;;;1;;Sim;Toddle;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE ;22;MBSP2025122;Sim;Sim;Sim;;
MAPLE BEAR MACAÉ - VALE ENCANTADO;ok ;Desenvolvimento;488;448;492;44;91,14%;3;NÃO USA CRM;109;5%;;;;35;;Sim;Portifólio;;VOUCHERSLIBERADOS , FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;22;MBRJ2025200;Sim;;;;
MAPLE BEAR INDAIATUBA - JARDIM ESPLANADA;;Alta Performance;401;412;447;35;92,07%;14;NÃO USA CRM;129;5%;;;13;;;Sim ;;;;21;MBSP2025123;Sim ;;Sim;;
MAPLE BEAR JUNDIAÍ;;Potente;384;398;347;-51;114,60%;5;NÃO USA CRM;143;5%;;;2;112;;Sim;;;LIBERADO VOUCHERS EM 06/08, POIS A ESCOLA COMEÇOU A UTILIZAR PORTIFÓLIO;20;MBSP2025310;Sim ;N/A;Sim;;
MAPLE BEAR MOGI DAS CRUZES - VILA OLIVEIRA;;Alta Performance;353;352;319;-33;110,36%;8;NÃO USA CRM;138;5%;;;;70;;Sim;Portifólio;Não recebemos o de acordo, mas o Ramires nos autorizou o envio dos vouchers mesmo assim. ;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE (LIBRADO SOB A QUANTIDADE DE 402 SLMS VENDIDOS - AUTORIZADO POR RAMIRES);20;MBSP2025129;Sim;N/A;Sim;;
MAPLE BEAR SÃO JOSÉ DO RIO PRETO;;Alerta;347;401;365;-36;109,80%;7;NÃO USA CRM;166;5%;;;;150;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO INTEGRAL DA TODDLE;20;MBSP2025143;Sim;Não;Sim;;
