"Modelo","ID do modelo","Tipo de documento","Titular","Usadas","Publicado","Compartilhados"
"Posts - 1080 x 1350","EAGrye-Xqoo",,"Maple Bear | Comunicação",0,0,0
"Régua de Follow Up - 1080 x 1080","EAGrydz6m_A","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Entrada e saída de alunos.docx.pdf","EAGrydxhBi8","Catálogo","Maple Bear | Comunicação",0,0,0
"Régua de Follow Up - 1080 x 1080px","EAGrydvPGOA",,"Maple Bear | Comunicação",0,0,0
"Régua de Follow Up - 1080 x 1080","EAGrydsMcnU","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Feed Instagram - 1080 x 1350","EAGrydsFm9s",,"Maple Bear | Comunicação",0,0,0
"TFR 2024 - Camiseta 02 - Costas","EAGrydrN6mM","Cartaz A3 frente e verso (retrato)","Maple Bear | Comunicação",0,0,0
"Envelope A4","EAGrydoKgX0",,"Maple Bear | Comunicação",0,0,0
"Falta 1 semana","EAGrydnP_OU","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"2- FEVEREIRO","EAGrydnH1WM","1080 x 1350 px","Maple Bear | Comunicação",0,1,0
"Cópia de Apresentação André Quintela - Encontro Março 2024 (2).pptx","EAGrydmy9aw","Apresentação","Maple Bear | Comunicação",0,0,0
"STORY_Carrossel_06_Londres","EAGrydmBh4c","Story","Maple Bear | Comunicação",0,0,0
"A4_Cartaz_Condições_Novembro","EAGrydjQnZ0","Documento (A4)","Maple Bear | Comunicação",0,0,0
"Stories - Carrossel 2","EAGrydideLE","Story","Maple Bear | Comunicação",0,0,0
"Festa Junina","EAGrydiYjGU",,"Maple Bear | Comunicação",0,0,0
"Posts - 1080x1080","EAGrydiP9MI",,"Maple Bear | Comunicação",0,0,0
"PAPEL TIMBRADO","EAGrydf2KOE","Documento (A4)","Maple Bear | Comunicação",0,0,0
"Educação Inclusiva- Uma Introdução às Diretrizes e Práticas da Rede Maple Bear","EAGryddF8Lo",,"Maple Bear | Comunicação",0,0,0
"Depoimento Summer Camp 2025 - Bruna","EAGrydZUeu8","Vídeo para dispositivos móveis","Maple Bear | Comunicação",0,0,0
"Régua de Aquecimento","EAGrydSh33U","Anúncio para feed","Maple Bear | Comunicação",0,0,0
"11 - NOVEMBRO FEED","EAGrydRxIkQ","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Moldura Stories","EAGrydQkkPY","Story","Maple Bear | Comunicação",0,0,0
"4- ABRIL","EAGrydP88Ok","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Summer Camp 25 - Feed e Whatsapp","EAGrydNW-rk","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Posts - 1080 x 1080","EAGrydKk8jc","Post para Instagram","Maple Bear | Comunicação",0,0,0
"CJ Students - Story","EAGrydITGco","Story","Maple Bear | Comunicação",0,0,0
"08 -  Dia Dos Oceanos ","EAGrydIOk4U","Post para Instagram (4:5)","Maple Bear | Comunicação",0,0,0
"09 - SETEMBRO STORY","EAGrydF6gwY","Story","Maple Bear | Comunicação",0,0,0
"Instagram Post - 1080 x 1080px","EAGrydC1fQ8",,"Maple Bear | Comunicação",0,0,0
"Mapa A3 - Frente e Verso","EAGrydBs8jU",,"Maple Bear | Comunicação",0,0,0
"Saídas Pedagógicas (1).pdf","EAGrydAbOOs","Catálogo","Maple Bear | Comunicação",0,0,0
"Maple Bear João Pessoa - Spreading Kindness ","EAGryd9qN3g",,"Maple Bear | Comunicação",0,0,0
"Moldura Stories","EAGryd8nx_4",,"Maple Bear | Comunicação",0,0,0
"Reels - Concurso Maple Bear nos cinemas ","EAGryd88PYw","Vídeo para dispositivos móveis","Maple Bear | Comunicação",0,0,0
"Contrato para Prestação de Serviços Educacionais","EAGryd0wre8","Documento (A4)","Maple Bear | Comunicação",0,17,0
"02 - Condição Especial - Fevereiro","EAGryd03qUs","Post para Instagram","Maple Bear | Comunicação",0,0,0
