"Modelo","ID do modelo","Tipo de documento","Titular","Usadas","Publicado","Compartilhados"
"Comunicado Oficial","EAGryXeD8-g","Post para Instagram (4:5)","Maple Bear | Comunicação",0,0,0
"Math - Patterns And Graph - A4","EAGryXe51Hs",,"Maple Bear | Comunicação",0,0,0
"Post Carrossel 05","EAGryXdi-SA","1080 x 1350 px","Maple Bear | Comunicação",0,9,0
"Crachás - A4","EAGryXdbWR4","Solicitação de pagamento","Maple Bear | Comunicação",0,0,0
"Feed - Carrossel 2","EAGryXbpW4k",,"Maple Bear | Comunicação",0,0,0
"Posts Fotos - 1080 x 1350","EAGryXbSkW8","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Nosso Propósito.pdf","EAGryXZfTQs",,"Maple Bear | Comunicação",0,0,0
"Stories - Estáticas","EAGryXZOwHM","Story","Maple Bear | Comunicação",0,0,0
"Posts - 1080 x 1350","EAGryXYsqLE","1080 x 1350 px","Maple Bear | Comunicação",0,1,0
"Stories - Carrossel 02","EAGryXYUMI4","Story","Maple Bear | Comunicação",0,0,0
"05 - Dia Mundial da Língua Portuguesa","EAGryXYT1Oo","Post para Instagram (4:5)","Maple Bear | Comunicação",0,9,0
"Trend- Encontrando a Maple Bear de 2006","EAGryXXz_2o","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Moldura Post","EAGryXVsn3U",,"Maple Bear | Comunicação",0,0,0
"Estáticas - Stories","EAGryXVgzvU",,"Maple Bear | Comunicação",0,0,0
"[Maple Bear Taubate] Bazar de Saint Patrick.pptx","EAGryXRkrhQ","Apresentação","Maple Bear | Comunicação",0,0,0
"11 - NOVEMBRO","EAGryXPoGo4","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Contrato de aluguel.pdf","EAGryXOBRrY","Catálogo","Maple Bear | Comunicação",0,0,0
"Posts - 1080 x 1350","EAGryXKrnXI",,"Maple Bear | Comunicação",0,0,0
"Carrossel - Stories","EAGryXHbAoE",,"Maple Bear | Comunicação",0,0,0
"Performance - Estáticas","EAGryXFl-q0",,"Maple Bear | Comunicação",0,0,0
"Folders Campanha 2024 - High School","EAGryXFa0Xc",,"Maple Bear | Comunicação",0,0,0
"Stories - Estáticas","EAGryXEruMM","Story","Maple Bear | Comunicação",0,0,0
"Banner Menor - 80 x 120cm","EAGryXEIxCk",,"Maple Bear | Comunicação",0,0,0
"STORY_Carrossel_05_Los_Angeles","EAGryX9uuT0","Story","Maple Bear | Comunicação",0,0,0
"Instagram - Post 01","EAGryX6AaB4","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Matrícula e Rematrícula - Story","EAGryX5C1A4","Story","Maple Bear | Comunicação",0,0,0
"BYLAWS PAC 2025.pdf","EAGryX3bwKE","Doc","Maple Bear | Comunicação",0,0,0
"11 - NOVEMBRO","EAGryX2D_ZI",,"Maple Bear | Comunicação",0,0,0
"NPS Familias 2024.2_Relatório Geral.pptx","EAGryX1YFHE","Apresentação","Maple Bear | Comunicação",0,0,0
"Performance - Carrossel 02","EAGryWzKZjM",,"Maple Bear | Comunicação",0,0,0
"Já se inscreveu na Terry Fox Run?","EAGryWyliTo",,"Maple Bear | Comunicação",0,0,0
"Reforma Tributária - jan.24.docx","EAGryWyY9bQ","Doc","Maple Bear | Comunicação",0,0,0
"Carro","EAGryWyHLRo",,"Maple Bear | Comunicação",0,29,0
"Comunicação Corte Logístico - 2025","EAGryWx_arA","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"SLM+ 2X - Contagem Regressiva - 1080 x 1080px","EAGryWxUUPc","Post para Instagram","Maple Bear | Comunicação",0,0,0
"Atividades ELE","EAGryWuAz7M","A4 (horizontal)","Maple Bear | Comunicação",0,0,0
"Moldura Stories","EAGryWrpqZ8","Story","Maple Bear | Comunicação",0,0,0
"Banner Menor - 80 x 120cm","EAGryWqnISw",,"Maple Bear | Comunicação",0,1,1
"07 - JULHO","EAGryWpbovU","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Elementos Soltos - PNG","EAGryWnqb88",,"Maple Bear | Comunicação",0,0,0
"Exp Day - Story ","EAGryWnNnC0","Story","Maple Bear | Comunicação",0,0,0
"Modelo excluído","EAGryWlornM",,,,,
"Science - Sea Animals And The Ocean - A3","EAGryWk02yc","Cartaz (A3 retrato)","Maple Bear | Comunicação",0,0,0
"Moldura Feed - 1080 x 1350","EAGryWj1W5o","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Moldura Stories","EAGryWgXvg0","Story","Maple Bear | Comunicação",0,0,0
"Feed - Carrossel 2","EAGryWetUEg",,"Maple Bear | Comunicação",0,0,0
"05 - Dia Mundial Do Meio Ambiente","EAGryWdljfY","Post para Instagram (4:5)","Maple Bear | Comunicação",0,0,0
"Modelo excluído","EAGryWcYavk",,,,,
"Lançamento #17 The Bear Magazine","EAGryWaytHA","Post para Instagram (4:5)","Maple Bear | Comunicação",0,0,0
"Instagram - Post 04","EAGryWahzbQ","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Feed - Carrossel 2","EAGryWaAmQI","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
"Folha de Atividade ECE - A4","EAGryWZiYZQ","A4 (horizontal)","Maple Bear | Comunicação",0,0,0
"Termo de LGPD.pdf","EAGryWZ7vik","Folha com moldura (A4)","Maple Bear | Comunicação",0,0,0
"Moldura Stories","EAGryWY4jyA",,"Maple Bear | Comunicação",0,0,0
"Performance - Carrossel 2","EAGryWXsUGs","Anúncio para feed","Maple Bear | Comunicação",0,0,0
"Recebimentos Antecipados.pdf","EAGryWX6zZo","Catálogo","Maple Bear | Comunicação",0,0,0
"Cópia de Layout Apresentação - 1920 x 1080 px","EAGryWWHJGM","Apresentação","Maple Bear | Comunicação",0,6,0
"9- SETEMBRO","EAGryWW-goA","1080 x 1350 px","Maple Bear | Comunicação",0,0,0
